date,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2019/11/27,24.72,24.93,24.59,24.69,24.47,3241125,80253161,3,1.1674,1,0.8991,0
2019/11/28,24.7,24.84,24.42,24.5,24.69,3076060,75715374,3,1.1079,1,-0.7695,0
2019/11/29,24.62,24.65,24.2,24.43,24.5,2020595,49293120,3,0.7278,1,-0.2857,0
2019/12/2,24.3,24.48,24.12,24.17,24.43,2656851,64448129,3,0.9569,1,-1.0643,0
2019/12/3,24.18,24.79,23.5,24.74,24.17,5751002,139182513,3,2.0714,1,2.3583,0
2019/12/4,24.43,24.61,24.26,24.51,24.74,2379792,58070716,3,0.8571,1,-0.9297,0
2019/12/5,24.46,24.85,24.46,24.6,24.51,2503607,61610691,3,0.9017,1,0.3672,0
2019/12/6,24.6,24.64,24.22,24.39,24.6,2647820,64446714,3,0.9537,1,-0.8537,0
2019/12/9,24.39,24.46,23.84,23.92,24.39,4130271,99129165,3,1.4876,1,-1.927,0
2019/12/10,23.9,24.3,23.84,24.28,23.92,3101509,74873763,3,1.1171,1,1.505,0
2019/12/11,24.25,24.25,23.96,24.23,24.28,1910658,46089848,3,0.6882,1,-0.2059,0
2019/12/12,24.24,24.24,23.91,23.94,24.23,2000314,47994572,3,0.7205,1,-1.1969,0
2019/12/13,24.1,24.19,23.99,24.19,23.94,2652895,63922472,3,0.9555,1,1.0443,0
2019/12/16,24.4,26.61,24.4,26.61,24.19,11882832,305199161,3,4.2799,1,10.0041,0
2019/12/17,26.62,27.16,26.38,26.89,26.61,8005862,213975232,3,2.8835,1,1.0522,0
2019/12/18,27.09,27.09,26.15,26.29,26.89,6621114,175601206,3,2.3848,1,-2.2313,0
2019/12/19,26.36,26.68,26.17,26.4,26.29,5106439,134992204,3,1.8392,1,0.4184,0
2019/12/20,26.27,26.86,26.03,26.5,26.4,4682985,123901978,3,1.6867,1,0.3788,0
2019/12/23,26.39,26.46,26.01,26.18,26.5,5546555,145204303,3,1.9977,1,-1.2075,0
2019/12/24,26,26.44,25.9,26.36,26.18,3754010,98336325,3,1.3521,1,0.6875,0
2019/12/25,26.37,26.6,26.13,26.6,26.36,3852297,101483412,3,1.3875,1,0.9105,0
2019/12/26,26.58,26.92,26.25,26.53,26.6,3435686,91111890,3,1.2374,1,-0.2632,0
2019/12/27,26.54,26.59,26.26,26.38,26.53,4077698,107714031,3,1.4687,1,-0.5654,0
2019/12/30,26.4,26.9,26.1,26.88,26.38,5539107,147265603,3,1.995,1,1.8954,0
2019/12/31,26.88,27.32,26.54,27.29,26.88,7300309,197271374,3,2.6294,1,1.5253,0
2020/1/2,27.33,29.05,26.88,28.54,27.29,9552275,267384933,3,3.4405,1,4.5804,0
2020/1/3,28.49,30.5,28.42,28.82,28.54,10893350,319803559,3,3.9235,1,0.9811,0
2020/1/6,28.71,30.5,28.55,29.8,28.82,11433603,340626578,3,4.1181,1,3.4004,0
2020/1/7,29.6,30.2,29.15,29.66,29.8,6404478,189333508,3,2.3067,1,-0.4698,0
2020/1/8,29.47,30.15,28.83,29.87,29.66,5776250,171187313,3,2.0805,1,0.708,0
2020/1/9,29.87,30.18,29.51,29.93,29.87,4701013,140295852,3,1.6932,1,0.2009,0
2020/1/10,29.99,30.6,29.45,29.76,29.93,4852238,145225708,3,1.7477,1,-0.568,0
2020/1/13,29.78,29.93,28.85,29.7,29.76,7650563,224371344,3,2.7555,1,-0.2016,0
2020/1/14,29.7,30.3,29.3,29.9,29.7,5108302,152348450,3,1.8399,1,0.6734,0
2020/1/15,29.72,30.29,29.41,29.58,29.9,4412701,131013886,3,1.5893,1,-1.0702,0
2020/1/16,29.51,30.1,29.25,29.6,29.58,4981074,147322253,3,1.7941,1,0.0676,0
2020/1/17,30,30.03,29,29.34,29.6,3324490,97773344,3,1.1974,1,-0.8784,0
2020/1/20,29.62,29.88,28.55,29.35,29.34,5688434,165741194,3,2.0488,1,0.0341,0
2020/1/21,29.4,31.05,29.38,30,29.35,10615731,321218291,3,3.8235,1,2.2146,0
2020/1/22,29.79,30.95,29.21,30.48,30,7573623,229816538,3,2.7278,1,1.6,0
2020/1/23,30.8,31.3,29.24,29.6,30.48,5768268,173076754,3,2.0776,1,-2.8871,0
2020/2/3,27,32.28,27,29.33,29.6,12408266,372976085,3,4.4691,1,-0.9122,0
2020/2/4,28.93,29.51,27.91,29.03,29.33,7586360,219927964,3,2.7324,1,-1.0228,0
2020/2/5,29.08,30.39,28.25,30.06,29.03,13190395,381235650,3,4.7508,1,3.548,0
2020/2/6,30.6,31.37,29.22,30.62,30.06,15468753,472040925,3,5.5714,1,1.8629,0
2020/2/7,31.85,33.5,31.01,32.38,30.62,18434278,591417877,3,6.6396,1,5.7479,0
2020/2/10,33.15,33.15,30.57,30.88,32.38,12582380,395833973,3,4.5318,1,-4.6325,0
2020/2/11,30.39,30.39,29.07,29.58,30.88,10781454,318634826,3,3.8832,1,-4.2098,0
2020/2/12,29.48,30.08,29.01,29.29,29.58,6759030,198145078,3,2.4344,1,-0.9804,0
2020/2/13,29.29,29.54,28.07,28.25,29.29,9208051,262044579,3,3.3165,1,-3.5507,0
2020/2/14,29.5,29.79,28.35,28.68,28.25,11836384,344308032,3,4.2632,1,1.5221,0
2020/2/17,29,29.06,28.28,29,28.68,8857267,254441451,3,3.1902,1,1.1158,0
2020/2/18,29.15,29.28,28.3,28.77,29,10733470,308003381,3,3.8659,1,-0.7931,0
2020/2/19,28.81,28.81,28.05,28.08,28.77,8843556,249713676,3,3.1852,1,-2.3983,0
2020/2/20,28.08,28.39,28.01,28.18,28.08,5728878,161384915,3,2.0634,1,0.3561,0
2020/2/21,28.25,28.37,27.74,28.05,28.18,9044082,253731318,3,3.2574,1,-0.4613,0
2020/2/24,28.03,28.29,27.83,28.12,28.05,6498164,182470124,3,2.3405,1,0.2496,0
2020/2/25,28,28.7,27.7,28.17,28.12,9856206,277393741,3,3.55,1,0.1778,0
2020/2/26,27.99,27.99,27.28,27.33,28.17,6931926,191340820,3,2.4967,1,-2.9819,0
2020/2/27,27.33,27.8,27.29,27.47,27.33,6912368,190432373,3,2.4897,1,0.5123,0
2020/2/28,27.1,27.49,26.26,26.3,27.47,6958299,186341542,3,2.5062,1,-4.2592,0
2020/3/2,26.29,26.84,26.29,26.75,26.3,6588033,175474628,3,2.3728,1,1.711,0
2020/3/3,26.94,27.95,26.77,27.02,26.75,9180253,250184117,3,3.3065,1,1.0093,0
2020/3/4,26.85,27.33,26.59,27.19,27.02,4757957,128962867,3,1.7137,1,0.6292,0
2020/3/5,27.4,27.99,27.3,27.68,27.19,5335009,147516928,3,1.9215,1,1.8021,0
2020/3/6,27.6,28.04,27.5,27.61,27.68,5483728,152357259,3,1.9751,1,-0.2529,0
2020/3/9,27.39,27.45,26.4,26.61,27.61,8061091,215368681,3,2.9034,1,-3.6219,0
2020/3/10,26.25,26.94,26.1,26.84,26.61,6641641,176439875,3,2.3921,1,0.8643,0
2020/3/11,26.88,27.26,26.62,26.72,26.84,4649309,124970184,3,1.6746,1,-0.4471,0
2020/3/12,26.55,26.7,25.65,25.77,26.72,5500124,142851506,3,1.981,1,-3.5554,0
2020/3/13,24.87,25.69,24.54,25.34,25.77,7098664,177580313,3,2.5568,1,-1.6686,0
2020/3/16,25.39,26.07,24.85,24.96,25.34,5656189,144930431,3,2.0372,1,-1.4996,0
2020/3/17,25.3,25.49,24.2,25.02,24.96,5059890,125074230,3,1.8224,1,0.2404,0
2020/3/18,25.18,25.59,24.6,24.6,25.02,4170056,104926476,3,1.5019,1,-1.6787,0
2020/3/19,24.7,25.23,24.35,24.79,24.6,4631918,114685906,3,1.6683,1,0.7724,0
2020/3/20,25.17,25.5,24.91,25.49,24.79,3652920,92098511,3,1.3157,1,2.8237,0
2020/3/23,25.22,25.7,24.9,25.41,25.49,4712146,119705939,3,1.6972,1,-0.3138,0
2020/3/24,25.5,26.47,25.5,26.4,25.41,6101557,159265845,3,2.1976,1,3.8961,0
2020/3/25,26.73,27.28,26.48,27.15,26.4,6215142,167187021,3,2.2385,1,2.8409,0
2020/3/26,26.86,27.36,26.77,26.96,27.15,3719412,100502919,3,1.3396,1,-0.6998,0
2020/3/27,27.3,27.35,26.68,26.73,26.96,3722934,100481517,3,1.3409,1,-0.8531,0
2020/3/30,27.54,29.07,26.73,28.66,26.73,17166180,483876726,3,6.1828,1,7.2204,0
2020/3/31,28.55,29.07,28.07,28.28,28.66,10547708,301248630,3,3.799,1,-1.3259,0
2020/4/1,28.12,28.64,27.3,28.12,28.28,10731479,299751363,3,3.8652,1,-0.5658,0
2020/4/2,27.93,28.92,27.68,28.85,28.12,8133236,231480275,3,2.9294,1,2.596,0
2020/4/3,28.88,30.46,28.77,30.08,28.85,15023423,450052160,3,5.411,1,4.2634,0
2020/4/7,30.4,30.5,29.7,30.38,30.08,9446327,284840457,3,3.4023,1,0.9973,0
2020/4/8,30.18,32.52,29.94,32.04,30.38,16878304,536507315,3,6.0791,1,5.4641,0
2020/4/9,32.27,33.08,31.6,32.5,32.04,9879380,320406481,3,3.5583,1,1.4357,0
2020/4/10,32.95,33.32,31.23,31.54,32.5,10658652,341802903,3,3.839,1,-2.9538,0
2020/4/13,31.46,34.6,31.01,33.59,31.54,15661877,520311355,3,5.641,1,6.4997,0
2020/4/14,34.99,36.9,32.71,35.74,33.59,27675373,964374793,3,9.968,1,6.4007,0
2020/4/15,36.01,39.31,36.01,39.31,35.74,36046004,1382068862,3,12.9828,1,9.9888,0
2020/4/16,39.3,43.24,38.1,38.85,39.31,67388171,2782401430,3,24.2715,1,-1.1702,0
2020/4/17,38.89,39.19,35.03,35.59,38.85,48321862,1770476874,3,17.4043,1,-8.3912,0
2020/4/20,35.95,36.33,34.81,35.78,35.59,29943880,1068811866,3,10.785,1,0.5339,0
2020/4/21,35.78,36.31,34.03,34.58,35.78,26023928,912120683,3,9.3731,1,-3.3538,0
2020/4/22,34.22,35.13,33.36,34.97,34.58,21848086,752385521,3,7.8691,1,1.1278,0
2020/4/23,34.9,35.66,33.99,34.05,34.97,22595042,786871920,3,8.1382,1,-2.6308,0
2020/4/24,33.6,33.61,31.3,31.59,34.05,26828654,858883051,3,9.663,1,-7.2247,0
2020/4/27,32.09,33.48,31.45,32.1,31.59,21820311,708706889,3,7.8591,1,1.6144,0
